vertex,label
0,256
1,265
2,253
3,259
4,5
5,212
6,2
7,1
8,235
9,250
10,211
11,3
12,237
13,224
14,16
15,0
16,205
17,193
18,156
19,222
20,213
21,252
22,159
23,199
24,231
25,114
26,107
27,9
28,12
29,30
30,88
31,214
32,73
33,4
34,163
35,175
36,24
37,34
38,129
39,195
40,191
41,6
42,38
43,57
44,208
45,204
46,109
47,91
48,182
49,207
50,162
51,147
52,192
53,226
54,209
55,218
56,196
57,203
58,145
59,185
60,133
61,79
62,7
63,164
64,166
65,8
66,13
67,190
68,234
69,153
70,136
71,93
72,160
73,95
74,241
75,201
76,52
77,215
78,35
79,101
80,139
81,74
82,187
83,194
84,246
85,141
86,257
87,66
88,98
89,169
90,261
91,137
92,50
93,245
94,220
95,110
96,49
97,65
98,171
99,140
100,229
101,19
102,155
103,230
104,216
105,104
106,266
107,18
108,240
109,172
110,223
111,236
112,89
113,217
114,178
115,131
116,115
117,26
118,90
119,29
120,255
121,138
122,42
123,102
124,251
125,219
126,197
127,158
128,167
129,227
130,262
131,183
132,233
133,32
134,100
135,263
136,87
137,64
138,28
139,92
140,118
141,69
142,44
143,221
144,243
145,125
146,67
147,122
148,200
149,189
150,127
151,258
152,144
153,72
154,117
155,184
156,174
157,84
158,25
159,161
160,247
161,264
162,128
163,210
164,206
165,85
166,248
167,142
168,170
169,113
170,146
171,21
172,180
173,198
174,173
175,124
176,27
177,78
178,238
179,54
180,70
181,105
182,40
183,41
184,86
185,31
186,94
187,55
188,22
189,47
190,121
191,15
192,51
193,116
194,39
195,45
196,43
197,150
198,149
199,157
200,36
201,61
202,62
203,82
204,46
205,154
206,81
207,152
208,143
209,151
210,120
211,11
212,76
213,202
214,58
215,59
216,135
217,176
218,96
219,80
