vertex,label
0,783
1,683
2,221
3,26
4,36
5,82
6,606
7,785
8,211
9,358
10,56
11,250
12,155
13,360
14,489
15,627
16,129
17,386
18,37
19,342
20,768
21,252
22,373
23,318
24,610
25,629
26,71
27,464
28,652
29,197
30,212
31,692
32,647
33,104
34,379
35,7
36,320
37,232
38,147
39,532
40,380
41,562
42,39
43,456
44,254
45,601
46,730
47,256
48,576
49,131
50,93
51,359
52,179
53,383
54,382
55,215
56,513
57,742
58,322
59,219
60,534
61,399
62,551
63,210
64,5
65,324
66,621
67,420
68,13
69,361
70,431
71,133
72,38
73,631
74,460
75,482
76,278
77,46
78,419
79,599
80,321
81,384
82,83
83,770
84,451
85,694
86,92
87,422
88,424
89,186
90,708
91,553
92,535
93,744
94,166
95,181
96,58
97,710
98,363
99,119
100,135
101,11
102,101
103,331
104,600
105,280
106,282
107,235
108,237
109,498
110,578
111,258
112,602
113,426
114,148
115,491
116,633
117,722
118,120
119,349
120,667
121,473
122,712
123,242
124,260
125,555
126,679
127,707
128,674
129,552
130,428
131,326
132,493
133,275
134,341
135,540
136,385
137,1
138,239
139,149
140,646
141,99
142,557
143,571
144,604
145,433
146,236
147,466
148,187
149,387
150,214
151,168
152,495
153,284
154,59
155,699
156,47
157,497
158,136
159,132
160,94
161,6
162,580
163,343
164,28
165,506
166,188
167,389
168,365
169,635
170,454
171,238
172,517
173,122
174,91
175,598
176,255
177,681
178,329
179,391
180,605
181,177
182,425
183,661
184,207
185,519
186,41
187,61
188,705
189,732
190,559
191,390
192,345
193,656
194,48
195,393
196,30
197,746
198,74
199,468
200,106
201,66
202,394
203,121
204,216
205,262
206,452
207,85
208,107
209,227
210,366
211,430
212,649
213,499
214,190
215,713
216,138
217,109
218,40
219,108
220,51
221,429
222,470
223,467
224,648
225,488
226,432
227,760
228,43
229,362
230,472
231,12
232,434
233,241
234,72
235,396
236,501
237,533
238,446
239,546
240,579
241,650
242,398
243,663
244,756
245,474
246,192
247,151
248,10
249,658
250,32
251,269
252,626
253,264
254,27
255,226
256,266
257,286
258,435
259,357
260,199
261,25
262,636
263,775
264,774
265,110
266,317
267,268
268,510
269,400
270,471
271,748
272,469
273,503
274,381
275,638
276,306
277,662
278,505
279,750
280,243
281,485
282,245
283,761
284,676
285,291
286,19
287,70
288,695
289,500
290,507
291,14
292,288
293,608
294,544
295,68
296,287
297,696
298,130
299,724
300,689
301,490
302,509
303,290
304,169
305,719
306,496
307,575
308,698
309,542
310,581
311,402
312,312
313,171
314,194
315,727
316,583
317,3
318,201
319,701
320,607
321,31
322,167
323,292
324,80
325,640
326,584
327,218
328,664
329,294
330,2
331,281
332,328
333,609
334,78
335,196
336,9
337,220
338,632
339,561
340,589
341,401
342,511
343,577
344,198
345,299
346,611
347,84
348,613
349,145
350,247
351,126
352,261
353,660
354,586
355,112
356,453
357,731
358,437
359,270
360,96
361,335
362,476
363,73
364,173
365,296
366,395
367,271
368,780
369,766
370,737
371,124
372,228
373,16
374,624
375,347
376,24
377,344
378,703
379,637
380,787
381,63
382,563
383,367
384,751
385,588
386,161
387,403
388,762
389,554
390,404
391,536
392,159
393,436
394,195
395,475
396,700
397,773
398,353
399,590
400,267
401,651
402,50
403,582
404,715
405,512
406,441
407,406
408,782
409,734
410,174
411,153
412,591
413,537
414,666
415,743
416,176
417,191
418,375
419,514
420,229
421,653
422,392
423,65
424,178
425,702
426,458
427,759
428,726
429,565
430,111
431,455
432,53
433,745
434,180
435,231
436,516
437,686
438,265
439,297
440,142
441,185
442,52
443,140
444,230
445,566
446,693
447,182
448,263
449,709
450,654
451,515
452,54
453,298
454,777
455,42
456,163
457,29
458,86
459,757
460,76
461,438
462,711
463,154
464,193
465,371
466,88
467,668
468,203
469,348
470,300
471,639
472,753
473,670
474,779
475,615
476,665
477,518
478,672
479,716
480,758
481,134
482,718
483,415
484,350
485,273
486,217
487,308
488,450
489,330
490,172
491,272
492,352
493,354
494,427
495,765
496,725
497,614
498,784
499,55
500,259
501,567
502,98
503,156
504,440
505,673
506,736
507,520
508,568
509,408
510,368
511,302
512,22
513,75
514,200
515,457
